codigo_sucursal,codigo_cliente,fecha_cierre_comercial,SKU_codigo,venta_unidades,venta_importe,condicion_venta
127,7811,2024-04-21,8M7R2T5JLE,32,954.6,CEX
127,9466,2024-04-21,7U6N75974D,100,953.9,CEX
155,9890,2024-04-21,O3WUFQC1YV,81,445.96,CEX
127,2983,2024-04-21,7U6N75974D,81,915.26,CEX
127,5549,2024-04-21,EK89WO0Z7G,33,452.59,EFE
127,5689,2024-04-21,WMAGPX6L8Q,20,205.33,CEX
127,7615,2024-04-21,97KGT2S73H,78,174.08,CEX
163,6850,2024-04-21,Z7G4YY9D5E,20,354.05,CEX
127,9673,2024-04-21,97KGT2S73H,69,286.07,CEX
127,3146,2024-04-21,Z9P7JE1ZK9,0,831.1,CEX
155,10062,2024-04-21,CGQJVTSSUZ,80,636.54,EFE
127,7890,2024-04-21,WMAGPX6L8Q,81,165.02,EFE
163,4563,2024-04-21,WMAGPX6L8Q,23,449.21,EFE
127,6867,2024-04-21,O3WUFQC1YV,94,435.37,EFE
127,6487,2024-04-21,CGQJVTSSUZ,81,485.25,EFE
163,1886,2024-04-21,97KGT2S73H,77,817.04,EFE
127,2788,2024-04-21,7U6N75974D,24,892.62,CEX
163,4586,2024-04-21,Z9P7JE1ZK9,54,144.35,EFE
163,1262,2024-04-21,Z9P7JE1ZK9,58,816.51,EFE
127,7802,2024-04-21,X0QN7JKV6E,88,971.81,CEX
