codigo_sucursal,codigo_cliente,fecha_cierre_comercial,deuda_vencida,deuda_total
127,7811,2024-04-21,44.47,3201.76
127,9466,2024-04-21,42.01,1127.99
155,9890,2024-04-21,314.63,8029.19
127,2983,2024-04-21,898.69,5129.41
127,5549,2024-04-21,124.48,8466.31
127,5689,2024-04-21,305.96,784.5
127,7615,2024-04-21,156.52,5349.27
163,6850,2024-04-21,477.16,2139.79
127,9673,2024-04-21,68.64,6902.15
127,3146,2024-04-21,728.92,9825.39
155,10062,2024-04-21,538.0,7773.1
127,7890,2024-04-21,228.35,4392.4
163,4563,2024-04-21,47.56,7466.41
127,6867,2024-04-21,419.83,5105.34
127,6487,2024-04-21,945.26,3463.04
163,1886,2024-04-21,201.69,5175.4
127,2788,2024-04-21,596.13,7825.06
163,4586,2024-04-21,48.26,4338.59
163,1262,2024-04-21,300.25,9920.49
127,7802,2024-04-21,717.11,5438.47
