codigo_sucursal,fecha_cierre_comercial,SKU_codigo,SKU_descripcion,stock_unidades,unidad
127,2024-04-21,8M7R2T5JLE,Café,230,UNI
127,2024-04-21,7U6N75974D,Aceite,212,UNI
155,2024-04-21,O3WUFQC1YV,Azúcar,407,UNI
127,2024-04-21,7U6N75974D,Aceite,15,PAQ
127,2024-04-21,EK89WO0Z7G,Pan,25,PAQ
127,2024-04-21,WMAGPX6L8Q,Arroz,35,PAQ
127,2024-04-21,97KGT2S73H,Té,325,UNI
163,2024-04-21,Z7G4YY9D5E,Sal,45,PAQ
127,2024-04-21,97KGT2S73H,Té,78,PAQ
127,2024-04-21,Z9P7JE1ZK9,Galletas,230,UNI
155,2024-04-21,CGQJVTSSUZ,Leche,34,PAQ
127,2024-04-21,WMAGPX6L8Q,Arroz,4,PAQ
163,2024-04-21,WMAGPX6L8Q,Arroz,184,UNI
127,2024-04-21,O3WUFQC1YV,Azúcar,56,PAQ
127,2024-04-21,CGQJVTSSUZ,Leche,141,UNI
163,2024-04-21,97KGT2S73H,Té,81,PAQ
127,2024-04-21,7U6N75974D,Aceite,476,UNI
163,2024-04-21,Z9P7JE1ZK9,Galletas,96,PAQ
163,2024-04-21,Z9P7JE1ZK9,Galletas,454,UNI
127,2024-04-21,X0QN7JKV6E,Harina,78,PAQ
