codigo_sucursal,codigo_cliente,fecha_cierre_comercial,SKU_codigo,venta_unidades,venta_importe,condicion_venta
193,8327,2024-04-22,EK89WO0Z7G,35,842.23,CEX
178,8075,2024-04-22,EK89WO0Z7G,66,753.98,EFE
178,6290,2024-04-22,8M7R2T5JLE,43,452.55,EFE
170,9108,2024-04-22,EK89WO0Z7G,33,666.56,CEX
193,2206,2024-04-22,Z9P7JE1ZK9,99,528.34,CEX
178,5543,2024-04-22,7U6N75974D,25,590.26,CEX
193,4275,2024-04-22,X0QN7JKV6E,95,974.62,CEX
170,7868,2024-04-22,Z9P7JE1ZK9,17,770.88,EFE
178,7996,2024-04-22,CGQJVTSSUZ,23,942.38,CEX
170,8124,2024-04-22,Z7G4YY9D5E,93,677.66,CEX
193,1340,2024-04-22,CGQJVTSSUZ,66,519.75,CEX
170,2371,2024-04-22,X0QN7JKV6E,58,509.72,EFE
193,3146,2024-04-22,CGQJVTSSUZ,27,498.62,EFE
170,5450,2024-04-22,Z7G4YY9D5E,53,246.12,EFE
178,1356,2024-04-22,7U6N75974D,100,320.76,EFE
170,1100,2024-04-22,EK89WO0Z7G,31,968.3,EFE
193,2540,2024-04-22,7U6N75974D,25,574.19,CEX
170,2421,2024-04-22,8M7R2T5JLE,16,126.8,EFE
178,7288,2024-04-22,CGQJVTSSUZ,50,696.84,CEX
170,9721,2024-04-22,O3WUFQC1YV,22,283.38,CEX
