codigo_sucursal,codigo_cliente,fecha_cierre_comercial,deuda_vencida,deuda_total
193,8327,2024-04-22,103.25,7390.4
178,8075,2024-04-22,153.35,4677.68
178,6290,2024-04-22,534.84,920.9
170,9108,2024-04-22,118.58,3649.6
193,2206,2024-04-22,647.71,4191.81
178,5543,2024-04-22,826.56,3719.58
193,4275,2024-04-22,66.05,3668.28
170,7868,2024-04-22,180.97,2615.3
178,7996,2024-04-22,30.02,3613.84
170,8124,2024-04-22,492.63,346.48
193,1340,2024-04-22,321.24,9508.01
170,2371,2024-04-22,680.67,4263.43
193,3146,2024-04-22,308.28,5354.07
170,5450,2024-04-22,983.98,9914.52
178,1356,2024-04-22,552.0,853.2
170,1100,2024-04-22,59.57,9885.55
193,2540,2024-04-22,600.17,1177.42
170,2421,2024-04-22,966.52,321.18
178,7288,2024-04-22,936.14,7387.76
170,9721,2024-04-22,109.23,89.69
