codigo_sucursal,fecha_cierre_comercial,SKU_codigo,SKU_descripcion,stock_unidades,unidad
258,2024-04-22,CGQJVTSSUZ,Leche,56,PAQ
259,2024-04-22,CGQJVTSSUZ,Leche,323,UNI
266,2024-04-22,O3WUFQC1YV,Azúcar,7,PAQ
259,2024-04-22,Z9P7JE1ZK9,Galletas,25,PAQ
259,2024-04-22,WMAGPX6L8Q,Arroz,139,UNI
258,2024-04-22,97KGT2S73H,Té,254,UNI
266,2024-04-22,O3WUFQC1YV,Azúcar,9,PAQ
266,2024-04-22,Z7G4YY9D5E,Sal,126,UNI
258,2024-04-22,O3WUFQC1YV,Azúcar,30,PAQ
259,2024-04-22,O3WUFQC1YV,Azúcar,89,PAQ
266,2024-04-22,97KGT2S73H,Té,265,UNI
258,2024-04-22,WMAGPX6L8Q,Arroz,57,PAQ
258,2024-04-22,O3WUFQC1YV,Azúcar,58,PAQ
259,2024-04-22,EK89WO0Z7G,Pan,58,PAQ
266,2024-04-22,EK89WO0Z7G,Pan,169,UNI
266,2024-04-22,WMAGPX6L8Q,Arroz,9,PAQ
259,2024-04-22,8M7R2T5JLE,Café,124,UNI
258,2024-04-22,O3WUFQC1YV,Azúcar,316,UNI
258,2024-04-22,Z7G4YY9D5E,Sal,265,UNI
266,2024-04-22,CGQJVTSSUZ,Leche,197,UNI
