codigo_sucursal,fecha_cierre_comercial,SKU_codigo,SKU_descripcion,stock_unidades,unidad
257,2024-04-21,8M7R2T5JLE,Café,366,UNI
254,2024-04-21,EK89WO0Z7G,Pan,98,PAQ
216,2024-04-21,8M7R2T5JLE,Café,91,PAQ
254,2024-04-21,WMAGPX6L8Q,Arroz,48,PAQ
216,2024-04-21,8M7R2T5JLE,Café,241,UNI
257,2024-04-21,O3WUFQC1YV,Azúcar,38,PAQ
254,2024-04-21,CGQJVTSSUZ,Leche,27,PAQ
257,2024-04-21,8M7R2T5JLE,Café,44,PAQ
257,2024-04-21,97KGT2S73H,Té,126,UNI
254,2024-04-21,EK89WO0Z7G,Pan,425,UNI
216,2024-04-21,CGQJVTSSUZ,Leche,333,UNI
254,2024-04-21,97KGT2S73H,Té,358,UNI
257,2024-04-21,CGQJVTSSUZ,Leche,455,UNI
216,2024-04-21,Z9P7JE1ZK9,Galletas,177,UNI
257,2024-04-21,EK89WO0Z7G,Pan,37,PAQ
257,2024-04-21,EK89WO0Z7G,Pan,357,UNI
254,2024-04-21,CGQJVTSSUZ,Leche,19,PAQ
257,2024-04-21,8M7R2T5JLE,Café,401,UNI
254,2024-04-21,WMAGPX6L8Q,Arroz,453,UNI
216,2024-04-21,97KGT2S73H,Té,150,UNI
