codigo_sucursal,codigo_cliente,fecha_cierre_comercial,SKU_codigo,venta_unidades,venta_importe,condicion_venta
257,5763,2024-04-21,8M7R2T5JLE,17,874.82,CEX
254,5384,2024-04-21,EK89WO0Z7G,78,552.24,EFE
216,7690,2024-04-21,8M7R2T5JLE,15,372.51,EFE
254,8333,2024-04-21,WMAGPX6L8Q,77,158.85,CEX
216,5776,2024-04-21,8M7R2T5JLE,50,154.47,CEX
257,6421,2024-04-21,O3WUFQC1YV,47,518.6,CEX
254,6044,2024-04-21,CGQJVTSSUZ,78,738.69,CEX
257,8993,2024-04-21,8M7R2T5JLE,4,170.9,CEX
257,2853,2024-04-21,97KGT2S73H,81,891.88,CEX
254,3885,2024-04-21,EK89WO0Z7G,5,250.39,CEX
216,5301,2024-04-21,CGQJVTSSUZ,100,652.86,CEX
254,6327,2024-04-21,97KGT2S73H,22,423.88,CEX
257,7098,2024-04-21,CGQJVTSSUZ,100,650.64,EFE
216,3014,2024-04-21,Z9P7JE1ZK9,2,262.76,CEX
257,3271,2024-04-21,EK89WO0Z7G,93,429.04,EFE
257,7882,2024-04-21,EK89WO0Z7G,54,792.6,CEX
254,5583,2024-04-21,CGQJVTSSUZ,96,454.55,EFE
257,2264,2024-04-21,8M7R2T5JLE,49,924.21,EFE
254,7160,2024-04-21,WMAGPX6L8Q,28,308.68,EFE
216,4222,2024-04-21,97KGT2S73H,59,144.66,EFE
